iterations,fitness,time,fevals
4700,99.0,0.031608995,4711
4710,99.0,0.031624775,4721
4720,99.0,0.03164,4731
4730,99.0,0.031655579,4741
4740,99.0,0.031670879,4751
4750,99.0,0.031687717,4761
4760,99.0,0.03170315,4771
4770,99.0,0.031718305,4781
4780,99.0,0.031734088,4791
4790,99.0,0.031749176,4801
4800,99.0,0.031764357,4811
4810,99.0,0.031795121,4821
4820,99.0,0.031830522,4831
4830,99.0,0.031862314,4841
4840,99.0,0.031883813,4851
4850,99.0,0.03191632,4861
4860,99.0,0.031932013,4871
4870,99.0,0.031947145,4881
4880,99.0,0.031964561,4891
4890,99.0,0.031980543,4901
4900,99.0,0.031995516,4911
4910,99.0,0.032011011,4921
4920,99.0,0.032026329,4931
4930,99.0,0.032046373,4941
4940,99.0,0.032061384,4951
4950,99.0,0.032076906,4961
4960,99.0,0.032092162,4971
4970,99.0,0.03210705,4981
4980,99.0,0.032137866,4991
4990,99.0,0.032154777,5001
5000,99.0,0.032170727,5011
